nome_norm,uf,lat,lon,nome
alta floresta d'oeste,RO,-12.6417,-62.4235,Alta Floresta D'oeste
ariquemes,RO,-9.9046,-62.9628,Ariquemes
cabixi,RO,-13.5287,-60.6783,Cabixi
cacoal,RO,-11.4172,-61.4353,Cacoal
cerejeiras,RO,-13.1949,-61.3525,Cerejeiras
colorado do oeste,RO,-13.082,-60.5528,Colorado Do Oeste
corumbiara,RO,-12.887,-61.0464,Corumbiara
costa marques,RO,-12.1508,-64.0795,Costa Marques
espigao d'oeste,RO,-11.3986,-60.7058,Espigão D'oeste
guajara-mirim,RO,-11.3847,-64.5494,Guajará-Mirim
jaru,RO,-10.643,-62.6999,Jaru
ji-parana,RO,-10.3912,-61.744,Ji-Paraná
machadinho d'oeste,RO,-9.2162,-62.0609,Machadinho D'oeste
nova brasilandia d'oeste,RO,-11.6031,-62.2406,Nova Brasilândia D'oeste
ouro preto do oeste,RO,-10.4676,-62.0592,Ouro Preto Do Oeste
pimenta bueno,RO,-11.7778,-60.813,Pimenta Bueno
porto velho,RO,-9.1885,-64.4012,Porto Velho
presidente medici,RO,-11.1853,-61.9543,Presidente Médici
rio crespo,RO,-9.6709,-62.7588,Rio Crespo
rolim de moura,RO,-11.7273,-61.7981,Rolim De Moura
santa luzia d'oeste,RO,-12.079,-61.7425,Santa Luzia D'oeste
vilhena,RO,-11.9267,-60.2658,Vilhena
sao miguel do guapore,RO,-11.5434,-63.1109,São Miguel Do Guaporé
nova mamore,RO,-10.5039,-64.5649,Nova Mamoré
alvorada d'oeste,RO,-11.2702,-62.5961,Alvorada D'oeste
alto alegre dos parecis,RO,-12.7672,-62.0222,Alto Alegre Dos Parecis
alto paraiso,RO,-9.6296,-63.5679,Alto Paraíso
buritis,RO,-10.0705,-63.9694,Buritis
novo horizonte do oeste,RO,-11.7013,-62.063,Novo Horizonte Do Oeste
cacaulandia,RO,-10.3125,-63.1149,Cacaulândia
campo novo de rondonia,RO,-10.462,-63.804,Campo Novo De Rondônia
candeias do jamari,RO,-8.9285,-63.3945,Candeias Do Jamari
castanheiras,RO,-11.4297,-61.9001,Castanheiras
chupinguaia,RO,-12.6526,-60.892,Chupinguaia
cujubim,RO,-8.9929,-62.5137,Cujubim
governador jorge teixeira,RO,-10.8087,-63.2022,Governador Jorge Teixeira
itapua do oeste,RO,-9.0447,-63.1565,Itapuã Do Oeste
ministro andreazza,RO,-11.1588,-61.5818,Ministro Andreazza
mirante da serra,RO,-11.0981,-62.8692,Mirante Da Serra
monte negro,RO,-10.2889,-63.3687,Monte Negro
nova uniao,RO,-10.8898,-62.4981,Nova União
parecis,RO,-12.2271,-61.3413,Parecis
pimenteiras do oeste,RO,-13.2209,-61.5165,Pimenteiras Do Oeste
primavera de rondonia,RO,-11.8852,-61.3215,Primavera De Rondônia
sao felipe d'oeste,RO,-11.8893,-61.4647,São Felipe D'oeste
sao francisco do guapore,RO,-12.4229,-63.1732,São Francisco Do Guaporé
seringueiras,RO,-11.8368,-63.2505,Seringueiras
teixeiropolis,RO,-10.9679,-62.2509,Teixeirópolis
theobroma,RO,-10.0633,-62.2591,Theobroma
urupa,RO,-11.0843,-62.391,Urupá
vale do anari,RO,-9.687,-61.902,Vale Do Anari
vale do paraiso,RO,-10.272,-62.0782,Vale Do Paraíso
acrelandia,AC,-10.0299,-66.9283,Acrelândia
assis brasil,AC,-10.7314,-69.9158,Assis Brasil
brasileia,AC,-10.8189,-69.1519,Brasiléia
bujari,AC,-9.6424,-68.1079,Bujari
capixaba,AC,-10.4429,-67.8094,Capixaba
cruzeiro do sul,AC,-8.0038,-72.8312,Cruzeiro Do Sul
epitaciolandia,AC,-10.8611,-68.6213,Epitaciolândia
feijo,AC,-8.9379,-71.04,Feijó
jordao,AC,-9.1448,-71.8493,Jordão
mancio lima,AC,-7.5596,-73.5229,Mâncio Lima
manoel urbano,AC,-9.3682,-69.9289,Manoel Urbano
marechal thaumaturgo,AC,-9.0382,-72.6615,Marechal Thaumaturgo
placido de castro,AC,-10.2947,-67.3486,Plácido De Castro
porto walter,AC,-8.4784,-72.7562,Porto Walter
rio branco,AC,-10.0578,-68.2053,Rio Branco
rodrigues alves,AC,-7.8298,-73.1651,Rodrigues Alves
santa rosa do purus,AC,-9.4903,-70.4377,Santa Rosa Do Purus
senador guiomard,AC,-10.0294,-67.5101,Senador Guiomard
sena madureira,AC,-10.0532,-69.6352,Sena Madureira
tarauaca,AC,-8.5227,-71.3145,Tarauacá
xapuri,AC,-10.5961,-68.5443,Xapuri
porto acre,AC,-9.6819,-67.7249,Porto Acre
alvaraes,AM,-3.6783,-65.2734,Alvarães
amatura,AM,-3.2933,-68.2688,Amaturá
anama,AM,-3.459,-61.7308,Anamã
anori,AM,-4.2372,-62.2079,Anori
apui,AM,-7.8659,-59.5632,Apuí
atalaia do norte,AM,-5.4567,-71.4692,Atalaia Do Norte
autazes,AM,-3.8618,-59.6663,Autazes
barcelos,AM,-0.4434,-63.6064,Barcelos
barreirinha,AM,-3.0189,-57.1658,Barreirinha
benjamin constant,AM,-5.4911,-70.3596,Benjamin Constant
beruri,AM,-4.3925,-61.8288,Beruri
boa vista do ramos,AM,-3.1233,-57.6092,Boa Vista Do Ramos
boca do acre,AM,-8.5654,-67.8455,Boca Do Acre
borba,AM,-5.0467,-59.2883,Borba
caapiranga,AM,-3.1434,-61.734,Caapiranga
canutama,AM,-7.6798,-64.0683,Canutama
carauari,AM,-5.1486,-67.3837,Carauari
careiro,AM,-3.8639,-60.2592,Careiro
